order_id,channel,store_format,city,city zone,department,category,brand,sku id,base unit price,discount,price after discount,TLV,discount percentage,high discount,quantity,line value,promo code used,promo code type,promo applied,ad channel,campaign,payment method,device type,delivery type,number of items,returned,reason for return,return value,stocked out,loyalty member,user ID,age,age group,gender,nationality,hour of day,day of week,order month,
LULU-000026,In-Store POS,Hypermarket,Dubai,Bur Dubai,Grocery,Beverages,Lulu,SKU-340259,25.96,0.92,25.04,100.16,3.54%,Low,4,100.16,1,FreeDelivery,1,Outdoor,SummerHeat,Wallet,N/A,Carryout,5,0,,0,0,1,CUST-03841,37,36-45,Female,Western Expat,1,Friday,2025-10,
LULU-000027,In-Store POS,Hypermarket,Sharjah,Waterfront,Grocery,Snacks,Al Ain,SKU-858816,7.8,0.77,7.03,28.12,9.87%,Low,4,28.12,1,Percent,1,Email,NationalDay,Cash,N/A,Carryout,8,0,,0,0,0,CUST-09909,37,36-45,Male,South Asian,10,Friday,2025-05,
LULU-000028,In-Store POS,Express,Dubai,Deira,Pharmacy,OTC,VitX,SKU-618813,141.76,10.96,130.8,784.8,7.73%,Low,6,784.8,1,BOGO,1,Email,ResidentsOnly,Card,N/A,Carryout,10,0,,0,0,0,CUST-05941,43,36-45,Female,South Asian,10,Thursday,2025-05,
LULU-000029,Online App,Hypermarket,Dubai,Mirdif,Electronics,Gaming,Lenovo,SKU-607313,382.03,63.13,318.9,318.9,16.52%,Medium,1,318.9,1,Flat,1,Instagram,BackToSchool2025,Apple Pay,Android,Next-Day,4,0,,0,0,0,CUST-11484,37,36-45,Female,South Asian,10,Sunday,2025-08,
LULU-000030,Online App,Web DC,Dubai,Mirdif,Pharmacy,Vitamins,Strepsils,SKU-566091,170.83,13.68,157.15,471.45,8.01%,Low,3,471.45,1,Flat,1,Email,SummerHeat,Wallet,Android,Same-Day,5,0,,0,0,0,CUST-05763,23,18-25,Male,GCC Expat,15,Friday,2025-07,
LULU-000031,In-Store POS,Express,Dubai,Al Barsha,Fashion,Footwear,BrandX,SKU-146273,196.14,22.19,173.95,173.95,11.31%,Medium,1,173.95,1,FreeDelivery,1,Referral,NationalDay,Card,N/A,Carryout,5,0,,0,0,0,CUST-03593,25,18-25,Female,South Asian,3,Friday,2025-08,
LULU-000032,Web,Web DC,Dubai,Al Barsha,Home & Living,Kitchenware,Prestige,SKU-302560,871.97,51.66,820.31,3281.24,5.92%,Low,4,3281.24,1,Percent,1,TikTok,FreshersUni,Card,Android,Next-Day,5,0,,0,0,0,CUST-00110,26,26-35,Female,South Asian,11,Thursday,2025-09,
LULU-000033,In-Store POS,Hypermarket,Dubai,Bur Dubai,Home & Living,Kitchenware,Tefal,SKU-818239,540.66,48.62,492.04,492.04,8.99%,Low,1,492.04,1,Percent,1,Outdoor,WeekendSaver,Card,N/A,Carryout,2,0,,0,0,0,CUST-02066,18,18-25,Male,African Expat,5,Saturday,2025-09,
LULU-000034,In-Store POS,Hypermarket,Abu Dhabi,Mussafah,Fashion,Kidswear,Adidas,SKU-540776,321.64,62.4,259.24,518.48,19.40%,Medium,2,518.48,1,Flat,1,SMS,BackToSchool2025,Cash,N/A,Carryout,2,0,,0,0,0,CUST-04225,39,36-45,Male,South Asian,14,Wednesday,2025-10,
LULU-000035,Web,Web DC,Sharjah,Waterfront,Home & Living,Kitchenware,Ikea-ish,SKU-165650,324.55,28.62,295.93,591.86,8.82%,Low,2,591.86,1,Percent,1,TikTok,FreshersUni,Card,Android,Next-Day,3,0,,0,0,1,CUST-11366,44,36-45,Female,GCC Expat,5,Friday,2025-07,
LULU-000036,In-Store POS,Hypermarket,Dubai,Downtown,Home & Living,Cleaning,Tefal,SKU-186932,1005.98,55.91,950.07,950.07,5.56%,Low,1,950.07,1,Percent,1,Referral,ResidentsOnly,Card,N/A,Carryout,1,0,,0,0,0,CUST-08109,31,26-35,Male,Arab Expat (non-GCC),11,Saturday,2025-04,
LULU-000037,In-Store POS,Hypermarket,Dubai,Mirdif,Fashion,Footwear,Lulu Fashion,SKU-495794,220.76,20.81,199.95,1199.7,9.43%,Low,6,1199.7,1,Percent,1,Email,FreshersUni,Card,N/A,Carryout,5,0,,0,0,1,CUST-02554,21,18-25,Male,Arab Expat (non-GCC),9,Wednesday,2025-07,
LULU-000038,In-Store POS,Express,Dubai,Al Quoz,Grocery,Dairy & Eggs,Al Ain,SKU-523842,36.49,4.72,31.77,95.31,12.94%,Medium,3,95.31,1,Percent,1,Outdoor,MidnightMadness,Card,N/A,Carryout,5,0,,0,0,1,CUST-07334,37,36-45,Female,Western Expat,15,Tuesday,2025-09,
LULU-000039,Web,Web DC,Abu Dhabi,Yas Island,Fashion,Menswear,Levi's,SKU-595463,54.44,11.35,43.09,129.27,20.85%,Medium,3,129.27,1,Percent,1,YouTube,BackToSchool2025,Card,Android,Next-Day,4,0,,0,0,0,CUST-02293,31,26-35,Male,South Asian,13,Tuesday,2025-07,
LULU-000040,In-Store POS,Hypermarket,Ajman,University Area,Grocery,Fresh Produce,Al Ain,SKU-534185,28.37,1.26,27.11,108.44,4.44%,Low,4,108.44,1,Flat,1,Referral,Ramadan2025,Wallet,N/A,Carryout,8,0,,0,0,0,CUST-00677,28,26-35,Female,South Asian,11,Monday,2025-06,
LULU-000041,Online App,Web DC,Abu Dhabi,Mussafah,Electronics,Tablets,Samsung,SKU-766982,1561.21,343.09,1218.12,1218.12,21.98%,Medium,1,1218.12,1,Percent,1,YouTube,Ramadan2025,Wallet,Android,Next-Day,5,0,,0,0,0,CUST-09734,23,18-25,Female,South Asian,1,Sunday,2025-05,
LULU-000042,Web,Web DC,Fujairah,City Center,Fashion,Womenswear,Adidas,SKU-852581,57.36,11.76,45.6,45.6,20.50%,Medium,1,45.6,1,Percent,1,Facebook,ResidentsOnly,Wallet,Android,Next-Day,1,0,,0,0,0,CUST-02473,43,36-45,Male,Western Expat,0,Saturday,2025-06,
LULU-000043,Online App,Web DC,Dubai,Al Quoz,Fashion,Womenswear,Levi's,SKU-346377,271.8,57.9,213.9,213.9,21.30%,Medium,1,213.9,1,Percent,1,Email,WeekendSaver,Apple Pay,Desktop,Next-Day,2,1,Other,151.52,0,0,CUST-00242,23,18-25,Male,South Asian,15,Saturday,2025-09,
LULU-000044,Online App,Hypermarket,Dubai,Al Quoz,Home & Living,Kitchenware,Vileda,SKU-159935,845.53,73.03,772.5,3090,8.64%,Low,4,3090,1,BOGO,1,Outdoor,LunchRush,Wallet,Android,Next-Day,1,0,,0,0,0,CUST-09736,36,36-45,Female,South Asian,5,Sunday,2025-08,
LULU-000045,Online App,Web DC,Dubai,Mirdif,Home & Living,Cleaning,Black+Decker,SKU-421035,1080.41,143.95,936.46,2809.38,13.32%,Medium,3,2809.38,1,Flat,1,Google Search,MidnightMadness,Card,Desktop,Next-Day,6,0,,0,0,0,CUST-07240,31,26-35,Male,South Asian,13,Wednesday,2025-05,
LULU-000046,Online App,Web DC,Dubai,Deira,Home & Living,Bedding,Scotch-Brite,SKU-913834,244.18,33.44,210.74,421.48,13.69%,Medium,2,421.48,1,Flat,1,TikTok,ResidentsOnly,Card,iOS,Next-Day,1,0,,0,0,1,CUST-04824,35,26-35,Female,South Asian,8,Sunday,2025-06,
LULU-000047,In-Store POS,Hypermarket,Abu Dhabi,Al Maryah,Home & Living,Décor,Tefal,SKU-660904,617.5,68.82,548.68,1097.36,11.14%,Medium,2,1097.36,1,Percent,1,Referral,MidnightMadness,Card,N/A,Carryout,3,0,,0,0,1,CUST-06831,18,18-25,Male,SE Asian,15,Friday,2025-06,
LULU-000048,Online App,Web DC,Dubai,Al Quoz,Electronics,Tablets,Apple,SKU-274904,2993.07,661.43,2331.64,2331.64,22.10%,Medium,1,2331.64,1,Percent,1,Facebook,WeekendSaver,Google Pay,Android,Next-Day,8,1,Changed mind,1589.45,0,1,CUST-04263,36,36-45,Other/Prefer not to say,South Asian,12,Wednesday,2025-07,
LULU-000049,Online App,Web DC,Dubai,JBR,Electronics,Home Appliances,LG,SKU-165070,243.93,54.05,189.88,189.88,22.16%,Medium,1,189.88,1,Percent,1,Google Search,BackToSchool2025,Wallet,Android,Next-Day,6,0,,0,0,1,CUST-00818,28,26-35,Male,South Asian,16,Tuesday,2025-05,
LULU-000050,In-Store POS,Hypermarket,Ajman,Airport Area,Grocery,Bakery,Nestlé,SKU-121613,78.65,6.8,71.85,215.55,8.65%,Low,3,215.55,1,Flat,1,Email,MidnightMadness,Card,N/A,Carryout,7,0,,0,0,1,CUST-05633,43,36-45,Female,South Asian,2,Friday,2025-08,
LULU-000051,In-Store POS,Hypermarket,Ras Al Khaimah,Suburb,Pharmacy,Personal Care,J&J,SKU-874315,22.83,0.34,22.49,44.98,1.49%,Low,2,44.98,1,BOGO,1,Referral,FreshersUni,Card,N/A,Carryout,4,0,,0,0,0,CUST-09353,25,18-25,Female,South Asian,16,Friday,2025-07,
LULU-000052,In-Store POS,Hypermarket,Umm Al Quwain,University Area,Grocery,Baby,Nestlé,SKU-549848,43.16,2.51,40.65,162.6,5.82%,Low,4,162.6,1,Percent,1,Outdoor,LunchRush,Card,N/A,Carryout,5,0,,0,0,0,CUST-09073,29,26-35,Male,Western Expat,18,Monday,2025-08,
LULU-000053,In-Store POS,Hypermarket,Abu Dhabi,Khalifa City,Grocery,Fresh Produce,Nadec,SKU-440636,48,2.64,45.36,90.72,5.50%,Low,2,90.72,1,Percent,1,SMS,Ramadan2025,Card,N/A,Carryout,13,0,,0,0,1,CUST-03621,46,46-60,Male,South Asian,7,Thursday,2025-06,
LULU-000054,In-Store POS,Express,Umm Al Quwain,Waterfront,Pharmacy,Medical Devices,Himalaya,SKU-244044,62.01,0.84,61.17,428.19,1.35%,Low,7,428.19,1,Flat,1,Email,LunchRush,Card,N/A,Carryout,8,0,,0,0,0,CUST-09883,34,26-35,Female,UAE National,16,Wednesday,2025-10,
LULU-000055,In-Store POS,Hypermarket,Sharjah,City Center,Grocery,Beverages,Al Ain,SKU-671953,42.54,2.86,39.68,277.76,6.72%,Low,7,277.76,1,Percent,1,Email,NationalDay,Cash,N/A,Carryout,6,0,,0,0,1,CUST-00523,31,26-35,Female,Western Expat,14,Monday,2025-08,
LULU-000056,In-Store POS,Hypermarket,Dubai,Silicon Oasis,Fashion,Kidswear,Mango,SKU-456600,207.65,20.56,187.09,187.09,9.90%,Low,1,187.09,1,Percent,1,Referral,FreshersUni,Card,N/A,Carryout,5,0,,0,0,1,CUST-03122,43,36-45,Male,UAE National,8,Wednesday,2025-08,
LULU-000057,In-Store POS,Hypermarket,Ajman,Waterfront,Grocery,Dairy & Eggs,Pepsi,SKU-355054,30.5,1.75,28.75,115,5.74%,Low,4,115,1,Percent,1,Email,LunchRush,Cash,N/A,Carryout,6,0,,0,0,0,CUST-01361,32,26-35,Male,Other,20,Wednesday,2025-05,
LULU-000058,In-Store POS,Hypermarket,Abu Dhabi,Yas Island,Grocery,Meat & Poultry,Coca-Cola,SKU-517511,8.8,0.67,8.13,48.78,7.61%,Low,6,48.78,1,Flat,1,Email,ResidentsOnly,Google Pay,N/A,Carryout,9,0,,0,0,1,CUST-08182,30,26-35,Male,South Asian,20,Friday,2025-09,
LULU-000059,Web,Web DC,Abu Dhabi,Corniche,Home & Living,Kitchenware,Dettol,SKU-306668,507.85,66.4,441.45,882.9,13.07%,Medium,2,882.9,1,Percent,1,Referral,BackToSchool2025,Wallet,Android,Next-Day,8,0,,0,0,0,CUST-08793,28,26-35,Male,South Asian,11,Saturday,2025-10,
LULU-000060,In-Store POS,Hypermarket,Sharjah,Suburb,Home & Living,Cleaning,Prestige,SKU-117993,722.25,68.84,653.41,653.41,9.53%,Low,1,653.41,1,Percent,1,Referral,BackToSchool2025,Card,N/A,Carryout,1,0,,0,0,1,CUST-10247,34,26-35,Male,GCC Expat,22,Tuesday,2025-09,
LULU-000061,In-Store POS,Hypermarket,Dubai,Silicon Oasis,Home & Living,Bedding,Tefal,SKU-342145,910.5,109.44,801.06,2403.18,12.02%,Medium,3,2403.18,1,Percent,1,Outdoor,MidnightMadness,Cash,N/A,Carryout,1,0,,0,0,1,CUST-01159,45,36-45,Female,SE Asian,7,Wednesday,2025-08,
LULU-000062,Online App,Hypermarket,Dubai,Bur Dubai,Grocery,Dairy & Eggs,Rani,SKU-187808,47.8,6.05,41.75,208.75,12.66%,Medium,5,208.75,1,Percent,1,Referral,BackToSchool2025,Wallet,iOS,Same-Day,2,0,,0,0,1,CUST-03066,34,26-35,Female,UAE National,2,Monday,2025-06,
LULU-000063,Web,Web DC,Abu Dhabi,Khalifa City,Grocery,Beverages,Al Ain,SKU-239950,26.3,4.5,21.8,65.4,17.11%,Medium,3,65.4,1,Percent,1,TikTok,BackToSchool2025,Wallet,iOS,Same-Day,7,0,,0,0,1,CUST-03236,30,26-35,Female,Arab Expat (non-GCC),2,Tuesday,2025-09,
LULU-000064,In-Store POS,Express,Abu Dhabi,Al Shawamekh,Home & Living,Cleaning,Prestige,SKU-607467,809.75,6.88,802.87,802.87,0.85%,Low,1,802.87,1,Percent,1,Referral,SummerHeat,Cash,N/A,Carryout,5,0,,0,0,1,CUST-10820,25,18-25,Male,African Expat,13,Saturday,2025-07,
LULU-000065,In-Store POS,Hypermarket,Al Ain,Suburb,Grocery,Frozen,Kellogg's,SKU-129595,20.97,1.25,19.72,19.72,5.96%,Low,1,19.72,1,Percent,1,Email,ResidentsOnly,Wallet,N/A,Carryout,7,0,,0,0,1,CUST-00357,26,26-35,Male,South Asian,19,Monday,2025-07,
LULU-000066,Online App,Web DC,Abu Dhabi,Al Shawamekh,Grocery,Seafood,Rani,SKU-609733,26.98,2.31,24.67,123.35,8.56%,Low,5,123.35,1,FreeDelivery,1,Instagram,SummerHeat,Wallet,iOS,Same-Day,10,0,,0,0,1,CUST-02471,35,26-35,Male,South Asian,0,Wednesday,2025-09,
LULU-000067,Web,Web DC,Ajman,Industrial Area,Home & Living,Furniture,Black+Decker,SKU-981160,999.93,125.33,874.6,3498.4,12.53%,Medium,4,3498.4,1,Percent,1,Instagram,WeekendSaver,Apple Pay,Android,Next-Day,10,0,,0,0,1,CUST-11666,41,36-45,Male,Western Expat,21,Saturday,2025-09,
LULU-000068,Online App,Web DC,Sharjah,Waterfront,Home & Living,Cleaning,Prestige,SKU-765617,1040.31,163.57,876.74,876.74,15.72%,Medium,1,876.74,1,Flat,1,YouTube,WeekendSaver,Wallet,Android,Next-Day,1,1,Late delivery,830.97,0,0,CUST-05298,37,36-45,Female,UAE National,22,Tuesday,2025-07,
LULU-000069,In-Store POS,Hypermarket,Abu Dhabi,Al Shawamekh,Home & Living,Kitchenware,Vileda,SKU-730401,77.73,1.88,75.85,227.55,2.42%,Low,3,227.55,1,Flat,1,Outdoor,LunchRush,Wallet,N/A,Carryout,6,0,,0,0,0,CUST-09494,41,36-45,Female,Arab Expat (non-GCC),1,Saturday,2025-06,
LULU-000070,Web,Web DC,Dubai,Bur Dubai,Grocery,Personal Care,Nestlé,SKU-829580,68.26,12.39,55.87,223.48,18.15%,Medium,4,223.48,1,Percent,1,Instagram,WeekendSaver,Card,iOS,Same-Day,7,0,,0,0,1,CUST-09815,33,26-35,Male,UAE National,22,Thursday,2025-10,
LULU-000071,In-Store POS,Hypermarket,Sharjah,Airport Area,Electronics,Home Appliances,Apple,SKU-154982,54.03,10.64,43.39,43.39,19.69%,Medium,1,43.39,1,Flat,1,Outdoor,MidnightMadness,Cash,N/A,Carryout,2,0,,0,0,0,CUST-02448,23,18-25,Female,South Asian,23,Thursday,2025-06,
LULU-000072,Web,Hypermarket,Dubai,Bur Dubai,Grocery,Beverages,Nestlé,SKU-801442,19.54,2.46,17.08,51.24,12.59%,Medium,3,51.24,1,Percent,1,SMS,LunchRush,Card,Android,Same-Day,3,0,,0,0,0,CUST-11743,28,26-35,Male,Western Expat,21,Tuesday,2025-04,
LULU-000073,Online App,Web DC,Dubai,Bur Dubai,Grocery,Snacks,Coca-Cola,SKU-327115,19.14,1.85,17.29,69.16,9.67%,Low,4,69.16,1,Percent,1,Instagram,NationalDay,Wallet,Android,Same-Day,5,0,,0,0,1,CUST-04955,31,26-35,Male,Western Expat,2,Wednesday,2025-09,
LULU-000074,In-Store POS,Hypermarket,Dubai,Business Bay,Home & Living,Décor,Tefal,SKU-960333,371.57,23.58,347.99,347.99,6.35%,Low,1,347.99,1,Flat,1,Email,SummerHeat,Card,N/A,Carryout,1,0,,0,0,1,CUST-00530,24,18-25,Male,SE Asian,6,Saturday,2025-05,
LULU-000075,In-Store POS,Hypermarket,Ajman,Suburb,Grocery,Bakery,Kellogg's,SKU-165475,71.86,3.32,68.54,342.7,4.62%,Low,5,342.7,1,BOGO,1,Outdoor,SummerHeat,Cash,N/A,Carryout,6,0,,0,0,0,CUST-03989,43,36-45,Male,Arab Expat (non-GCC),8,Friday,2025-06,
LULU-000076,In-Store POS,Hypermarket,Al Ain,Waterfront,Fashion,Footwear,Adidas,SKU-378375,197.95,30.68,167.27,1003.62,15.50%,Medium,6,1003.62,1,Percent,1,In-App,ResidentsOnly,Card,N/A,Carryout,7,0,,0,0,0,CUST-00523,38,36-45,Female,South Asian,5,Tuesday,2025-10,
LULU-000077,Online App,Web DC,Dubai,JBR,Grocery,Bakery,Al Ain,SKU-486418,59.72,7.34,52.38,157.14,12.29%,Medium,3,157.14,1,Percent,1,SMS,ResidentsOnly,Card,Desktop,Same-Day,11,0,,0,0,1,CUST-04780,28,26-35,Male,South Asian,14,Wednesday,2025-08,
LULU-000078,Online App,Hypermarket,Dubai,Downtown,Home & Living,Kitchenware,Tefal,SKU-378308,504.63,68.72,435.91,435.91,13.62%,Medium,1,435.91,1,Percent,1,Email,WeekendSaver,Apple Pay,iOS,Next-Day,7,0,,0,0,0,CUST-08543,34,26-35,Male,South Asian,13,Friday,2025-05,
LULU-000079,Online App,Hypermarket,Ras Al Khaimah,Waterfront,Home & Living,Cleaning,Vileda,SKU-437886,164.67,25.45,139.22,278.44,15.46%,Medium,2,278.44,1,Percent,1,Referral,BackToSchool2025,Card,iOS,Next-Day,5,0,,0,0,0,CUST-11890,44,36-45,Male,South Asian,11,Monday,2025-04,
LULU-000080,In-Store POS,Hypermarket,Abu Dhabi,Corniche,Home & Living,Kitchenware,Black+Decker,SKU-714432,135.76,4.64,131.12,655.6,3.42%,Low,5,655.6,1,Percent,1,Outdoor,FreshersUni,Wallet,N/A,Carryout,1,0,,0,0,1,CUST-09292,42,36-45,Male,South Asian,7,Monday,2025-04,
LULU-000081,In-Store POS,Hypermarket,Dubai,Downtown,Electronics,Accessories,Sony,SKU-588162,62.02,10.68,51.34,51.34,17.22%,Medium,1,51.34,1,FreeDelivery,1,Outdoor,BackToSchool2025,Card,N/A,Carryout,12,1,Size/fit issue,28.35,0,0,CUST-06132,27,26-35,Female,GCC Expat,10,Friday,2025-05,
LULU-000082,Web,Web DC,Dubai,Business Bay,Grocery,Personal Care,Coca-Cola,SKU-778256,48.94,3.93,45.01,90.02,8.03%,Low,2,90.02,1,BOGO,1,Referral,FreshersUni,Google Pay,Android,Same-Day,9,0,,0,0,1,CUST-00144,38,36-45,Male,South Asian,21,Monday,2025-06,
